category_name,date,YEARS,MONTHS,Total_value
GOLD RUM,2021-04-26,2021,4,5666.43
COFFEE LIQUEURS,2023-07-13,2023,7,5666.01
FLAVORED GIN,2022-10-18,2022,10,5664.39
GOLD RUM,2022-05-24,2022,5,5662.8
GOLD RUM,2022-09-29,2022,9,5660.61
SINGLE BARREL BOURBON WHISKIES,2022-05-05,2022,5,5660.55
AMERICAN FLAVORED VODKA,2023-11-18,2023,11,5660.23
FLAVORED RUM,2024-01-12,2024,1,5659.91
GOLD RUM,2022-03-16,2022,3,5659.71
GOLD RUM,2023-05-22,2023,5,5658.94
NEUTRAL GRAIN SPIRITS,2022-10-24,2022,10,5657.86
BOTTLED IN BOND BOURBON,2023-05-08,2023,5,5657.19
FLAVORED RUM,2021-05-22,2021,5,5656.58
AMERICAN DISTILLED SPIRITS SPECIALTY,2022-04-19,2022,4,5656.3
AGED DARK RUM,2023-06-26,2023,6,5656.2
BOTTLED IN BOND BOURBON,2023-01-16,2023,1,5655.36
IMPORTED DRY GINS,2023-12-08,2023,12,5654.37
STRAIGHT RYE WHISKIES,2023-11-12,2023,11,5653.99
COFFEE LIQUEURS,2021-09-29,2021,9,5653.61
AGED DARK RUM,2022-10-19,2022,10,5652.28
BOTTLED IN BOND BOURBON,2023-02-15,2023,2,5650.4
NEUTRAL GRAIN SPIRITS FLAVORED,2022-03-15,2022,3,5649.81
SPECIAL ORDER ITEMS,2021-03-30,2021,3,5649.26
AMERICAN DRY GINS,2024-01-19,2024,1,5648.31
AMERICAN DISTILLED SPIRITS SPECIALTY,2023-11-07,2023,11,5646.65
AGED DARK RUM,2022-08-24,2022,8,5646.07
NEUTRAL GRAIN SPIRITS FLAVORED,2021-07-28,2021,7,5644.11
IMPORTED BRANDIES,2021-07-08,2021,7,5643.43
AMERICAN DISTILLED SPIRITS SPECIALTY,2022-05-10,2022,5,5643.18
GOLD RUM,2021-11-01,2021,11,5642.31
AMERICAN DISTILLED SPIRITS SPECIALTY,2022-05-24,2022,5,5641.81
GOLD RUM,2022-06-03,2022,6,5641.74
AGED DARK RUM,2023-12-26,2023,12,5640.74
AGED DARK RUM,2021-03-24,2021,3,5640.2
NEUTRAL GRAIN SPIRITS FLAVORED,2021-09-24,2021,9,5640.09
BOTTLED IN BOND BOURBON,2023-03-21,2023,3,5638.81
AGED DARK RUM,2023-07-31,2023,7,5638.19
AMERICAN DISTILLED SPIRITS SPECIALTY,2023-10-06,2023,10,5636.46
COFFEE LIQUEURS,2021-08-30,2021,8,5633.48
AMERICAN DISTILLED SPIRITS SPECIALTY,2021-07-27,2021,7,5631.45
NEUTRAL GRAIN SPIRITS FLAVORED,2022-02-14,2022,2,5625.69
BOTTLED IN BOND BOURBON,2023-01-24,2023,1,5625.09
IMPORTED VODKAS,2024-01-28,2024,1,5623.3
NEUTRAL GRAIN SPIRITS,2022-08-18,2022,8,5620.02
GOLD RUM,2023-07-26,2023,7,5618.79
AGED DARK RUM,2021-06-03,2021,6,5618.51
IMPORTED DISTILLED SPIRITS SPECIALTY,2022-10-14,2022,10,5617.98
NEUTRAL GRAIN SPIRITS FLAVORED,2021-08-18,2021,8,5617.71
IMPORTED DISTILLED SPIRITS SPECIALTY,2023-04-25,2023,4,5616.56
IMPORTED DISTILLED SPIRITS SPECIALTY,2021-11-11,2021,11,5615.66
COFFEE LIQUEURS,2023-10-30,2023,10,5615.63
AMERICAN DISTILLED SPIRITS SPECIALTY,2023-05-01,2023,5,5614.96
IMPORTED DISTILLED SPIRITS SPECIALTY,2023-11-14,2023,11,5614.58
GOLD RUM,2023-05-26,2023,5,5612.61
NEUTRAL GRAIN SPIRITS FLAVORED,2021-04-06,2021,4,5612.31
COFFEE LIQUEURS,2023-08-29,2023,8,5610.87
NEUTRAL GRAIN SPIRITS FLAVORED,2021-04-13,2021,4,5610.06
COFFEE LIQUEURS,2022-06-28,2022,6,5606.37
AMERICAN DISTILLED SPIRITS SPECIALTY,2021-07-05,2021,7,5605.53
AMERICAN DISTILLED SPIRITS SPECIALTY,2022-10-04,2022,10,5602.58
COFFEE LIQUEURS,2022-03-14,2022,3,5599.09
AGED DARK RUM,2021-06-15,2021,6,5597.37
AMERICAN DISTILLED SPIRITS SPECIALTY,2023-11-17,2023,11,5597.23
COFFEE LIQUEURS,2023-06-23,2023,6,5595.72
BOTTLED IN BOND BOURBON,2023-05-10,2023,5,5595.38
SINGLE BARREL BOURBON WHISKIES,2023-03-14,2023,3,5594.4
AMERICAN DISTILLED SPIRITS SPECIALTY,2023-04-10,2023,4,5593.55
IMPORTED SCHNAPPS,2023-11-18,2023,11,5592.73
NEUTRAL GRAIN SPIRITS,2023-11-21,2023,11,5591.97
IMPORTED DISTILLED SPIRITS SPECIALTY,2021-12-14,2021,12,5591.7
BLENDED WHISKIES,2023-11-18,2023,11,5591.62
AMERICAN DISTILLED SPIRITS SPECIALTY,2022-11-07,2022,11,5591.58
NEUTRAL GRAIN SPIRITS FLAVORED,2021-02-08,2021,2,5589.26
FLAVORED GIN,2022-05-05,2022,5,5588.14
SPECIAL ORDER ITEMS,2021-05-10,2021,5,5587.85
IMPORTED DISTILLED SPIRITS SPECIALTY,2023-06-27,2023,6,5581.78
NEUTRAL GRAIN SPIRITS FLAVORED,2021-03-12,2021,3,5579.91
AMERICAN DISTILLED SPIRITS SPECIALTY,2022-02-21,2022,2,5579.68
AMERICAN DRY GINS,2022-01-31,2022,1,5575.43
COFFEE LIQUEURS,2023-04-25,2023,4,5575.04
TRIPLE SEC,2023-03-23,2023,3,5574.46
COFFEE LIQUEURS,2022-06-20,2022,6,5573.75
AMERICAN DISTILLED SPIRITS SPECIALTY,2021-01-27,2021,1,5571.97
SINGLE BARREL BOURBON WHISKIES,2021-11-19,2021,11,5571.55
COFFEE LIQUEURS,2022-03-07,2022,3,5571.33
NEUTRAL GRAIN SPIRITS FLAVORED,2023-11-10,2023,11,5570.64
COFFEE LIQUEURS,2021-06-01,2021,6,5570.13
AGED DARK RUM,2022-10-17,2022,10,5567.78
AGED DARK RUM,2022-12-21,2022,12,5566.75
STRAIGHT BOURBON WHISKIES,2023-11-25,2023,11,5565.09
TRIPLE SEC,2023-01-16,2023,1,5564.55
GOLD RUM,2022-12-14,2022,12,5563.37
GOLD RUM,2021-04-28,2021,4,5563.17
IMPORTED DISTILLED SPIRITS SPECIALTY,2022-11-14,2022,11,5562.61
COFFEE LIQUEURS,2021-06-21,2021,6,5561.41
SINGLE BARREL BOURBON WHISKIES,2022-12-11,2022,12,5559.84
GOLD RUM,2021-06-10,2021,6,5558.1
TRIPLE SEC,2022-04-21,2022,4,5557.32
GOLD RUM,2021-01-25,2021,1,5557.05
SPECIAL ORDER ITEMS,2022-11-14,2022,11,5556.46
AGED DARK RUM,2021-02-11,2021,2,5554.16
TRIPLE SEC,2022-01-27,2022,1,5552.96
GOLD RUM,2021-07-08,2021,7,5552.52
AGED DARK RUM,2022-03-03,2022,3,5551.23
GOLD RUM,2023-07-19,2023,7,5549.32
GOLD RUM,2023-12-22,2023,12,5548.83
COFFEE LIQUEURS,2023-04-03,2023,4,5547.84
COFFEE LIQUEURS,2022-03-25,2022,3,5547.38
AMERICAN DISTILLED SPIRITS SPECIALTY,2023-06-16,2023,6,5547.25
AMERICAN DISTILLED SPIRITS SPECIALTY,2023-05-10,2023,5,5546.99
SINGLE BARREL BOURBON WHISKIES,2022-01-31,2022,1,5546.25
SINGLE MALT SCOTCH,2023-04-04,2023,4,5545.27
COFFEE LIQUEURS,2021-03-26,2021,3,5545.07
BOTTLED IN BOND BOURBON,2022-10-25,2022,10,5544.93
FLAVORED GIN,2023-11-09,2023,11,5544.85
AMERICAN DISTILLED SPIRITS SPECIALTY,2023-06-09,2023,6,5544.7
IRISH WHISKIES,2021-10-12,2021,10,5544.43
IMPORTED CORDIALS & LIQUEURS,2023-12-16,2023,12,5544.4
SINGLE BARREL BOURBON WHISKIES,2023-07-06,2023,7,5544.27
TRIPLE SEC,2021-09-16,2021,9,5540.67
BOTTLED IN BOND BOURBON,2021-09-22,2021,9,5539.44
TRIPLE SEC,2021-11-11,2021,11,5539.38
GOLD RUM,2022-11-03,2022,11,5537.16
AGED DARK RUM,2023-12-01,2023,12,5535.68
COFFEE LIQUEURS,2021-09-23,2021,9,5535.34
NEUTRAL GRAIN SPIRITS FLAVORED,2021-12-07,2021,12,5534.61
BOTTLED IN BOND BOURBON,2023-06-21,2023,6,5534.61
AMERICAN DISTILLED SPIRITS SPECIALTY,2023-01-23,2023,1,5530.8
GOLD RUM,2022-11-21,2022,11,5530.0
100% AGAVE TEQUILA,2023-01-02,2023,1,5529.39
GOLD RUM,2022-08-03,2022,8,5528.13
BOTTLED IN BOND BOURBON,2021-11-02,2021,11,5527.47
SPECIAL ORDER ITEMS,2022-06-17,2022,6,5527.14
FLAVORED GIN,2023-07-05,2023,7,5527.0
SINGLE MALT SCOTCH,2023-06-30,2023,6,5526.24
AMERICAN SCHNAPPS,2023-11-18,2023,11,5524.86
COFFEE LIQUEURS,2023-10-24,2023,10,5523.85
IMPORTED SCHNAPPS,2022-09-10,2022,9,5523.83
GOLD RUM,2022-08-19,2022,8,5523.0
TRIPLE SEC,2023-07-17,2023,7,5520.69
SINGLE MALT SCOTCH,2021-09-11,2021,9,5520.4
NEUTRAL GRAIN SPIRITS FLAVORED,2021-11-03,2021,11,5520.07
GOLD RUM,2021-09-22,2021,9,5518.35
TRIPLE SEC,2023-05-30,2023,5,5515.25
CREAM LIQUEURS,2024-01-21,2024,1,5514.95
AMERICAN DISTILLED SPIRITS SPECIALTY,2021-12-20,2021,12,5514.13
CORN WHISKIES,2022-04-29,2022,4,5513.25
TRIPLE SEC,2023-01-19,2023,1,5512.69
FLAVORED GIN,2022-08-26,2022,8,5512.35
TRIPLE SEC,2021-02-18,2021,2,5511.51
COFFEE LIQUEURS,2022-10-06,2022,10,5510.87
AMERICAN VODKAS,2023-01-02,2023,1,5509.17
CREAM LIQUEURS,2021-06-12,2021,6,5509.04
AMERICAN DISTILLED SPIRITS SPECIALTY,2022-10-10,2022,10,5508.32
AGED DARK RUM,2021-05-19,2021,5,5507.62
GOLD RUM,2021-10-06,2021,10,5507.47
AMERICAN DISTILLED SPIRITS SPECIALTY,2022-08-24,2022,8,5505.48
AGED DARK RUM,2023-12-11,2023,12,5504.1
AGED DARK RUM,2021-04-12,2021,4,5500.39
STRAIGHT RYE WHISKIES,2023-06-02,2023,6,5499.74
AGED DARK RUM,2021-12-09,2021,12,5497.57
COFFEE LIQUEURS,2022-04-27,2022,4,5496.38
NEUTRAL GRAIN SPIRITS FLAVORED,2021-11-22,2021,11,5496.09
GOLD RUM,2021-06-15,2021,6,5495.67
NEUTRAL GRAIN SPIRITS FLAVORED,2021-08-26,2021,8,5494.57
NEUTRAL GRAIN SPIRITS FLAVORED,2021-01-15,2021,1,5494.01
IMPORTED CORDIALS & LIQUEURS,2022-11-24,2022,11,5493.24
SPICED RUM,2022-11-24,2022,11,5492.98
AMERICAN DRY GINS,2022-03-10,2022,3,5492.52
NEUTRAL GRAIN SPIRITS FLAVORED,2021-08-12,2021,8,5490.81
SINGLE BARREL BOURBON WHISKIES,2022-01-20,2022,1,5490.62
IMPORTED DISTILLED SPIRITS SPECIALTY,2022-12-14,2022,12,5489.77
AMERICAN DISTILLED SPIRITS SPECIALTY,2023-02-27,2023,2,5487.55
NEUTRAL GRAIN SPIRITS FLAVORED,2022-02-21,2022,2,5486.63
NEUTRAL GRAIN SPIRITS FLAVORED,2021-11-18,2021,11,5483.72
IMPORTED BRANDIES,2021-02-03,2021,2,5481.08
COFFEE LIQUEURS,2022-01-19,2022,1,5477.72
AMERICAN DISTILLED SPIRITS SPECIALTY,2021-06-05,2021,6,5477.02
IMPORTED DISTILLED SPIRITS SPECIALTY,2021-07-19,2021,7,5476.26
AMERICAN DISTILLED SPIRITS SPECIALTY,2023-05-09,2023,5,5471.98
TRIPLE SEC,2021-03-22,2021,3,5471.55
IMPORTED DISTILLED SPIRITS SPECIALTY,2021-06-14,2021,6,5470.84
BOTTLED IN BOND BOURBON,2022-11-01,2022,11,5468.79
GOLD RUM,2021-12-15,2021,12,5468.31
AGED DARK RUM,2023-09-11,2023,9,5466.96
COFFEE LIQUEURS,2021-08-03,2021,8,5465.84
AMERICAN DISTILLED SPIRITS SPECIALTY,2023-02-24,2023,2,5465.21
AGED DARK RUM,2021-10-19,2021,10,5462.44
FLAVORED GIN,2023-12-26,2023,12,5462.25
COFFEE LIQUEURS,2023-05-05,2023,5,5460.92
SPECIAL ORDER ITEMS,2021-02-01,2021,2,5460.39
SPICED RUM,2022-04-17,2022,4,5459.89
SINGLE BARREL BOURBON WHISKIES,2022-02-07,2022,2,5459.12
COFFEE LIQUEURS,2022-05-16,2022,5,5458.26
COFFEE LIQUEURS,2022-04-06,2022,4,5457.95
AGED DARK RUM,2023-09-07,2023,9,5457.78
AMERICAN DISTILLED SPIRITS SPECIALTY,2023-05-23,2023,5,5456.56
GOLD RUM,2023-06-01,2023,6,5454.98
NEUTRAL GRAIN SPIRITS FLAVORED,2022-04-25,2022,4,5453.95
COFFEE LIQUEURS,2021-08-06,2021,8,5453.45
NEUTRAL GRAIN SPIRITS FLAVORED,2021-10-22,2021,10,5449.48
AGED DARK RUM,2022-09-06,2022,9,5448.95
SINGLE BARREL BOURBON WHISKIES,2023-01-23,2023,1,5448.75
AMERICAN DISTILLED SPIRITS SPECIALTY,2023-10-10,2023,10,5446.95
FLAVORED GIN,2023-09-18,2023,9,5446.44
TRIPLE SEC,2022-10-12,2022,10,5446.21
GOLD RUM,2023-10-17,2023,10,5445.85
COFFEE LIQUEURS,2021-04-06,2021,4,5443.71
BOTTLED IN BOND BOURBON,2022-12-01,2022,12,5442.7
AGED DARK RUM,2023-02-23,2023,2,5441.78
GOLD RUM,2023-12-13,2023,12,5441.47
SPECIAL ORDER ITEMS,2021-04-13,2021,4,5439.66
AGED DARK RUM,2023-06-14,2023,6,5439.11
GOLD RUM,2021-12-08,2021,12,5438.75
SINGLE MALT SCOTCH,2022-02-25,2022,2,5438.28
TRIPLE SEC,2022-08-10,2022,8,5436.63
COFFEE LIQUEURS,2023-01-24,2023,1,5434.93
AMERICAN DISTILLED SPIRITS SPECIALTY,2021-12-06,2021,12,5433.39
AMERICAN DISTILLED SPIRITS SPECIALTY,2022-11-10,2022,11,5429.7
NEUTRAL GRAIN SPIRITS,2022-11-25,2022,11,5429.56
FLAVORED GIN,2023-04-20,2023,4,5429.19
AGED DARK RUM,2021-01-20,2021,1,5426.15
COFFEE LIQUEURS,2021-11-16,2021,11,5425.12
NEUTRAL GRAIN SPIRITS,2022-12-27,2022,12,5424.98
AGED DARK RUM,2021-04-27,2021,4,5423.95
NEUTRAL GRAIN SPIRITS,2022-09-28,2022,9,5422.44
AMERICAN DISTILLED SPIRITS SPECIALTY,2023-02-28,2023,2,5416.5
100% AGAVE TEQUILA,2021-06-20,2021,6,5415.96
COFFEE LIQUEURS,2021-12-06,2021,12,5415.92
GOLD RUM,2022-12-01,2022,12,5412.95
AMERICAN DISTILLED SPIRITS SPECIALTY,2022-02-07,2022,2,5411.94
AGED DARK RUM,2021-06-02,2021,6,5411.22
COFFEE LIQUEURS,2023-05-10,2023,5,5409.67
NEUTRAL GRAIN SPIRITS FLAVORED,2021-11-30,2021,11,5409.59
TRIPLE SEC,2023-09-28,2023,9,5408.8
AGED DARK RUM,2023-10-04,2023,10,5408.16
COFFEE LIQUEURS,2023-07-28,2023,7,5405.84
AMERICAN DISTILLED SPIRITS SPECIALTY,2022-02-16,2022,2,5403.88
NEUTRAL GRAIN SPIRITS FLAVORED,2023-12-03,2023,12,5401.08
NEUTRAL GRAIN SPIRITS FLAVORED,2021-09-22,2021,9,5395.15
GOLD RUM,2022-05-09,2022,5,5391.54
NEUTRAL GRAIN SPIRITS,2022-09-29,2022,9,5391.48
TRIPLE SEC,2023-04-06,2023,4,5390.28
FLAVORED GIN,2022-08-30,2022,8,5387.7
AGED DARK RUM,2021-03-10,2021,3,5387.57
SPECIAL ORDER ITEMS,2021-07-20,2021,7,5387.29
AMERICAN DISTILLED SPIRITS SPECIALTY,2021-08-12,2021,8,5385.83
TEMPORARY & SPECIALTY PACKAGES,2021-03-01,2021,3,5383.86
TRIPLE SEC,2021-09-30,2021,9,5383.42
AMERICAN DISTILLED SPIRITS SPECIALTY,2023-10-20,2023,10,5383.19
AGED DARK RUM,2021-10-25,2021,10,5382.03
FLAVORED GIN,2021-02-09,2021,2,5381.78
AGED DARK RUM,2021-04-22,2021,4,5381.39
NEUTRAL GRAIN SPIRITS,2022-12-05,2022,12,5380.85
GOLD RUM,2023-01-25,2023,1,5380.46
TEMPORARY & SPECIALTY PACKAGES,2021-01-21,2021,1,5380.42
CORN WHISKIES,2021-07-28,2021,7,5379.75
SINGLE BARREL BOURBON WHISKIES,2022-01-27,2022,1,5378.84
FLAVORED GIN,2022-10-26,2022,10,5376.72
GOLD RUM,2022-10-03,2022,10,5376.64
AGED DARK RUM,2022-04-21,2022,4,5376.41
NEUTRAL GRAIN SPIRITS FLAVORED,2021-01-28,2021,1,5376.06
NEUTRAL GRAIN SPIRITS FLAVORED,2021-09-17,2021,9,5370.96
AMERICAN DISTILLED SPIRITS SPECIALTY,2021-06-21,2021,6,5370.78
BOTTLED IN BOND BOURBON,2021-02-22,2021,2,5370.75
SINGLE BARREL BOURBON WHISKIES,2023-10-26,2023,10,5369.59
SPECIAL ORDER ITEMS,2021-07-28,2021,7,5369.13
FLAVORED GIN,2022-10-27,2022,10,5367.54
COFFEE LIQUEURS,2022-10-17,2022,10,5367.07
FLAVORED GIN,2022-12-06,2022,12,5365.37
MEZCAL,2022-02-08,2022,2,5365.11
BOTTLED IN BOND BOURBON,2023-01-27,2023,1,5363.64
GOLD RUM,2022-08-18,2022,8,5360.79
IMPORTED FLAVORED VODKA,2022-03-04,2022,3,5359.67
FLAVORED GIN,2023-02-14,2023,2,5359.62
AGED DARK RUM,2023-12-22,2023,12,5359.14
NEUTRAL GRAIN SPIRITS FLAVORED,2021-08-20,2021,8,5358.89
NEUTRAL GRAIN SPIRITS FLAVORED,2022-08-01,2022,8,5357.02
SINGLE MALT SCOTCH,2021-07-16,2021,7,5356.52
GOLD RUM,2023-06-09,2023,6,5356.44
IMPORTED DISTILLED SPIRITS SPECIALTY,2021-08-09,2021,8,5356.44
BOTTLED IN BOND BOURBON,2023-03-29,2023,3,5354.37
TEMPORARY & SPECIALTY PACKAGES,2023-04-04,2023,4,5353.95
AMERICAN DISTILLED SPIRITS SPECIALTY,2022-01-26,2022,1,5353.77
AGED DARK RUM,2023-11-07,2023,11,5353.71
FLAVORED RUM,2023-11-10,2023,11,5351.25
SPECIAL ORDER ITEMS,2022-02-10,2022,2,5347.32
TRIPLE SEC,2023-11-16,2023,11,5347.24
GOLD RUM,2021-05-19,2021,5,5345.76
WHITE RUM,2023-10-15,2023,10,5343.83
COFFEE LIQUEURS,2022-08-05,2022,8,5343.48
BOTTLED IN BOND BOURBON,2022-10-28,2022,10,5342.94
GOLD RUM,2023-04-05,2023,4,5342.82
TRIPLE SEC,2021-02-04,2021,2,5342.67
GOLD RUM,2023-05-23,2023,5,5342.35
COFFEE LIQUEURS,2023-02-06,2023,2,5341.65
SINGLE BARREL BOURBON WHISKIES,2024-01-05,2024,1,5341.42
SCOTCH WHISKIES,2021-05-22,2021,5,5338.54
SCOTCH WHISKIES,2023-11-05,2023,11,5338.13
COFFEE LIQUEURS,2021-10-08,2021,10,5335.68
COFFEE LIQUEURS,2021-05-28,2021,5,5334.66
SINGLE BARREL BOURBON WHISKIES,2024-01-02,2024,1,5334.0
AMERICAN DISTILLED SPIRITS SPECIALTY,2022-04-05,2022,4,5333.48
AMERICAN DISTILLED SPIRITS SPECIALTY,2023-10-31,2023,10,5333.13
AGED DARK RUM,2022-09-19,2022,9,5330.85
AGED DARK RUM,2021-06-23,2021,6,5328.98
AGED DARK RUM,2023-08-07,2023,8,5328.54
SCOTCH WHISKIES,2023-10-22,2023,10,5328.09
FLAVORED GIN,2023-08-23,2023,8,5323.5
SINGLE BARREL BOURBON WHISKIES,2024-01-30,2024,1,5322.75
AMERICAN DISTILLED SPIRITS SPECIALTY,2023-11-24,2023,11,5322.64
AMERICAN DISTILLED SPIRITS SPECIALTY,2021-09-29,2021,9,5320.92
NEUTRAL GRAIN SPIRITS FLAVORED,2021-11-11,2021,11,5319.52
GOLD RUM,2022-05-18,2022,5,5318.18
AMERICAN DRY GINS,2022-03-29,2022,3,5317.83
AGED DARK RUM,2021-04-28,2021,4,5317.72
FLAVORED GIN,2023-07-20,2023,7,5317.49
COFFEE LIQUEURS,2021-02-05,2021,2,5316.89
AGED DARK RUM,2021-07-20,2021,7,5316.45
GOLD RUM,2021-11-24,2021,11,5314.89
FLAVORED GIN,2023-06-21,2023,6,5314.28
GOLD RUM,2023-12-07,2023,12,5313.29
COFFEE LIQUEURS,2021-08-27,2021,8,5312.39
NEUTRAL GRAIN SPIRITS FLAVORED,2022-01-19,2022,1,5311.96
SPECIAL ORDER ITEMS,2022-09-20,2022,9,5310.36
SPECIAL ORDER ITEMS,2023-10-19,2023,10,5310.29
AMERICAN DISTILLED SPIRITS SPECIALTY,2023-03-07,2023,3,5310.23
GOLD RUM,2022-08-10,2022,8,5310.07
NEUTRAL GRAIN SPIRITS FLAVORED,2021-05-04,2021,5,5310.0
BOTTLED IN BOND BOURBON,2023-08-07,2023,8,5309.84
BOTTLED IN BOND BOURBON,2023-01-20,2023,1,5309.47
BOTTLED IN BOND BOURBON,2021-06-02,2021,6,5308.84
AMERICAN DISTILLED SPIRITS SPECIALTY,2022-05-13,2022,5,5308.32
COFFEE LIQUEURS,2022-02-16,2022,2,5307.86
NEUTRAL GRAIN SPIRITS FLAVORED,2021-09-20,2021,9,5304.61
AMERICAN DISTILLED SPIRITS SPECIALTY,2022-06-21,2022,6,5303.37
BOTTLED IN BOND BOURBON,2022-02-28,2022,2,5302.79
SINGLE MALT SCOTCH,2023-07-14,2023,7,5301.09
FLAVORED GIN,2022-04-11,2022,4,5298.26
TRIPLE SEC,2023-11-22,2023,11,5297.37
COFFEE LIQUEURS,2023-09-28,2023,9,5296.97
GOLD RUM,2023-06-28,2023,6,5296.83
AMERICAN DISTILLED SPIRITS SPECIALTY,2022-06-23,2022,6,5296.21
TRIPLE SEC,2022-08-11,2022,8,5295.8
TRIPLE SEC,2021-06-24,2021,6,5294.39
NEUTRAL GRAIN SPIRITS FLAVORED,2021-06-14,2021,6,5292.4
COFFEE LIQUEURS,2021-03-15,2021,3,5291.47
IRISH WHISKIES,2024-01-14,2024,1,5291.22
IMPORTED DISTILLED SPIRITS SPECIALTY,2022-10-05,2022,10,5290.64
AGED DARK RUM,2022-07-19,2022,7,5290.54
IMPORTED DISTILLED SPIRITS SPECIALTY,2021-03-22,2021,3,5289.89
SPECIAL ORDER ITEMS,2021-12-17,2021,12,5288.82
NEUTRAL GRAIN SPIRITS FLAVORED,2022-03-24,2022,3,5286.75
TRIPLE SEC,2023-03-09,2023,3,5285.6
AGED DARK RUM,2021-09-08,2021,9,5284.77
COFFEE LIQUEURS,2022-08-02,2022,8,5284.49
AMERICAN DISTILLED SPIRITS SPECIALTY,2021-11-30,2021,11,5283.09
SPECIAL ORDER ITEMS,2021-06-02,2021,6,5283.02
AMERICAN DISTILLED SPIRITS SPECIALTY,2024-01-05,2024,1,5282.8
IMPORTED DISTILLED SPIRITS SPECIALTY,2023-01-26,2023,1,5282.65
GOLD RUM,2021-09-15,2021,9,5282.1
IMPORTED DISTILLED SPIRITS SPECIALTY,2023-05-31,2023,5,5281.88
NEUTRAL GRAIN SPIRITS,2021-10-27,2021,10,5280.73
BOTTLED IN BOND BOURBON,2022-08-18,2022,8,5274.37
SPECIAL ORDER ITEMS,2021-09-29,2021,9,5272.86
AMERICAN DISTILLED SPIRITS SPECIALTY,2023-06-30,2023,6,5271.88
AGED DARK RUM,2022-06-23,2022,6,5271.77
AMERICAN VODKAS,2022-07-04,2022,7,5269.92
AGED DARK RUM,2022-03-09,2022,3,5268.41
FLAVORED RUM,2022-08-15,2022,8,5268.0
SINGLE BARREL BOURBON WHISKIES,2021-11-18,2021,11,5266.17
SCOTCH WHISKIES,2022-09-10,2022,9,5266.08
BOTTLED IN BOND BOURBON,2023-05-09,2023,5,5265.93
COFFEE LIQUEURS,2021-04-01,2021,4,5265.93
AMERICAN DRY GINS,2022-03-03,2022,3,5265.9
IMPORTED DISTILLED SPIRITS SPECIALTY,2023-10-09,2023,10,5264.92
COFFEE LIQUEURS,2022-05-31,2022,5,5264.11
AMERICAN DISTILLED SPIRITS SPECIALTY,2022-06-27,2022,6,5263.27
NEUTRAL GRAIN SPIRITS,2022-11-16,2022,11,5263.25
IMPORTED FLAVORED VODKA,2023-11-03,2023,11,5261.48
BOTTLED IN BOND BOURBON,2023-12-28,2023,12,5261.28
GOLD RUM,2021-06-03,2021,6,5259.51
COFFEE LIQUEURS,2021-09-07,2021,9,5257.62
IMPORTED DISTILLED SPIRITS SPECIALTY,2021-01-20,2021,1,5257.56
FLAVORED GIN,2023-12-04,2023,12,5256.18
SINGLE BARREL BOURBON WHISKIES,2022-12-16,2022,12,5255.55
GOLD RUM,2023-11-22,2023,11,5254.67
AMERICAN DISTILLED SPIRITS SPECIALTY,2024-01-15,2024,1,5254.31
SINGLE MALT SCOTCH,2022-07-19,2022,7,5254.16
GOLD RUM,2021-03-08,2021,3,5253.93
IMPORTED DISTILLED SPIRITS SPECIALTY,2023-11-27,2023,11,5253.67
SINGLE BARREL BOURBON WHISKIES,2023-10-23,2023,10,5252.97
SINGLE MALT SCOTCH,2022-07-15,2022,7,5252.82
AMERICAN DISTILLED SPIRITS SPECIALTY,2024-01-24,2024,1,5252.61
TRIPLE SEC,2023-03-16,2023,3,5252.27
SPECIAL ORDER ITEMS,2022-10-12,2022,10,5252.11
AMERICAN DISTILLED SPIRITS SPECIALTY,2023-04-24,2023,4,5251.78
GOLD RUM,2023-11-01,2023,11,5251.35
AMERICAN DISTILLED SPIRITS SPECIALTY,2023-08-29,2023,8,5251.09
COFFEE LIQUEURS,2021-07-26,2021,7,5251.08
GOLD RUM,2021-05-18,2021,5,5250.81
GOLD RUM,2023-02-16,2023,2,5250.7
NEUTRAL GRAIN SPIRITS,2022-11-18,2022,11,5250.61
BOTTLED IN BOND BOURBON,2022-05-19,2022,5,5245.5
AMERICAN DISTILLED SPIRITS SPECIALTY,2021-09-14,2021,9,5245.03
SINGLE BARREL BOURBON WHISKIES,2021-10-07,2021,10,5244.06
IMPORTED DISTILLED SPIRITS SPECIALTY,2022-09-26,2022,9,5243.38
COFFEE LIQUEURS,2023-06-07,2023,6,5241.88
FLAVORED GIN,2023-07-12,2023,7,5239.76
COFFEE LIQUEURS,2021-06-11,2021,6,5238.73
BOTTLED IN BOND BOURBON,2023-06-14,2023,6,5237.61
COFFEE LIQUEURS,2022-06-06,2022,6,5237.58
GOLD RUM,2023-06-27,2023,6,5236.27
SINGLE BARREL BOURBON WHISKIES,2023-12-04,2023,12,5234.25
CORN WHISKIES,2022-08-26,2022,8,5231.85
NEUTRAL GRAIN SPIRITS FLAVORED,2021-07-27,2021,7,5231.73
AGED DARK RUM,2023-06-05,2023,6,5230.87
TRIPLE SEC,2021-07-01,2021,7,5228.01
AMERICAN DISTILLED SPIRITS SPECIALTY,2023-11-21,2023,11,5227.14
FLAVORED GIN,2023-09-13,2023,9,5226.9
SINGLE BARREL BOURBON WHISKIES,2022-01-10,2022,1,5226.23
NEUTRAL GRAIN SPIRITS FLAVORED,2021-04-22,2021,4,5224.53
NEUTRAL GRAIN SPIRITS FLAVORED,2022-03-21,2022,3,5222.87
