category_name,date,YEARS,MONTHS,Total_value
AMERICAN VODKAS,2021-11-15,2021,11,272616.52
AMERICAN VODKAS,2021-10-19,2021,10,272552.71
AMERICAN VODKAS,2023-05-25,2023,5,272183.08
CANADIAN WHISKIES,2023-05-31,2023,5,272168.73
AMERICAN VODKAS,2022-05-17,2022,5,271986.53
CANADIAN WHISKIES,2021-09-28,2021,9,271966.02
AMERICAN VODKAS,2021-09-01,2021,9,271943.81
STRAIGHT BOURBON WHISKIES,2023-12-05,2023,12,271527.99
STRAIGHT BOURBON WHISKIES,2023-12-19,2023,12,270964.36
CANADIAN WHISKIES,2023-02-09,2023,2,270701.2
AMERICAN VODKAS,2021-06-10,2021,6,270689.38
AMERICAN VODKAS,2021-10-05,2021,10,270607.38
AMERICAN VODKAS,2022-05-27,2022,5,270316.73
AMERICAN VODKAS,2023-02-03,2023,2,269945.21
CANADIAN WHISKIES,2021-03-05,2021,3,269881.59
AMERICAN VODKAS,2023-04-05,2023,4,269613.55
AMERICAN VODKAS,2023-11-27,2023,11,269585.87
AMERICAN VODKAS,2022-09-19,2022,9,269555.39
AMERICAN VODKAS,2021-03-08,2021,3,269118.25
AMERICAN VODKAS,2023-05-08,2023,5,268971.34
AMERICAN VODKAS,2022-12-15,2022,12,268667.68
AMERICAN VODKAS,2022-08-17,2022,8,268582.92
AMERICAN VODKAS,2022-12-07,2022,12,268398.17
STRAIGHT BOURBON WHISKIES,2022-12-27,2022,12,268071.9
AMERICAN VODKAS,2023-07-21,2023,7,267983.87
AMERICAN VODKAS,2023-01-16,2023,1,267715.34
AMERICAN VODKAS,2021-08-30,2021,8,267609.12
AMERICAN VODKAS,2021-02-02,2021,2,267601.47
AMERICAN VODKAS,2022-07-06,2022,7,267355.89
AMERICAN VODKAS,2023-09-13,2023,9,267289.35
AMERICAN VODKAS,2022-07-20,2022,7,267230.67
AMERICAN VODKAS,2021-08-20,2021,8,267172.21
CANADIAN WHISKIES,2021-05-05,2021,5,266521.06
CANADIAN WHISKIES,2023-07-17,2023,7,266344.45
AMERICAN VODKAS,2023-12-06,2023,12,266191.66
AMERICAN VODKAS,2021-09-15,2021,9,265955.74
AMERICAN VODKAS,2022-06-06,2022,6,265746.43
AMERICAN VODKAS,2021-09-14,2021,9,265398.59
CANADIAN WHISKIES,2023-09-26,2023,9,264674.82
AMERICAN VODKAS,2021-09-08,2021,9,264606.47
CANADIAN WHISKIES,2021-02-26,2021,2,264427.72
AMERICAN VODKAS,2021-09-09,2021,9,264331.38
AMERICAN VODKAS,2023-07-19,2023,7,264255.92
AMERICAN VODKAS,2023-08-22,2023,8,263937.4
AMERICAN VODKAS,2023-05-11,2023,5,263788.66
AMERICAN VODKAS,2022-06-17,2022,6,263746.0
